file_key,file_name,column_name,dtype,row_count,column_count,missing_count,missing_pct,unique_count,duplicate_rows,min_value,max_value
listings_detailed,listings_detailed.csv.gz,instant_bookable,object,28806,79,0,0.0,2,0,,
listings_detailed,listings_detailed.csv.gz,calculated_host_listings_count,int64,28806,79,0,0.0,90,0,1.0,243.0
listings_detailed,listings_detailed.csv.gz,calculated_host_listings_count_entire_homes,int64,28806,79,0,0.0,82,0,0.0,234.0
listings_detailed,listings_detailed.csv.gz,calculated_host_listings_count_private_rooms,int64,28806,79,0,0.0,43,0,0.0,193.0
listings_detailed,listings_detailed.csv.gz,calculated_host_listings_count_shared_rooms,int64,28806,79,0,0.0,11,0,0.0,58.0
listings_detailed,listings_detailed.csv.gz,reviews_per_month,float64,28806,79,10090,35.03,679,0,0.01,57.6
calendar,calendar.csv.gz,ERROR,Error tokenizing data. C error: out of memory,0,0,0,0.0,0,0,,
reviews_detailed,reviews_detailed.csv.gz,listing_id,int64,583333,6,0,0.0,18716,0,27934.0,1.5164890224147722e+18
reviews_detailed,reviews_detailed.csv.gz,id,int64,583333,6,0,0.0,583333,0,200452.0,1.519424257819099e+18
reviews_detailed,reviews_detailed.csv.gz,date,object,583333,6,0,0.0,4733,0,2011-03-16,2025-09-27
reviews_detailed,reviews_detailed.csv.gz,reviewer_id,int64,583333,6,0,0.0,462561,0,1.0,720502542.0
reviews_detailed,reviews_detailed.csv.gz,reviewer_name,object,583333,6,6,0.0,132105,0,,
reviews_detailed,reviews_detailed.csv.gz,comments,object,583333,6,70,0.01,548477,0,,
listings_summary,listings_summary.csv,id,int64,28806,18,0,0.0,28806,0,27934.0,1.5181682940978813e+18
listings_summary,listings_summary.csv,name,object,28806,18,0,0.0,26604,0,,
listings_summary,listings_summary.csv,host_id,int64,28806,18,0,0.0,8874,0,21447.0,720639377.0
listings_summary,listings_summary.csv,host_name,object,28806,18,9,0.03,6869,0,,
listings_summary,listings_summary.csv,neighbourhood_group,float64,28806,18,28806,100.0,0,0,,
listings_summary,listings_summary.csv,neighbourhood,object,28806,18,0,0.0,50,0,,
listings_summary,listings_summary.csv,latitude,float64,28806,18,0,0.0,20113,0,13.52937,13.95354
listings_summary,listings_summary.csv,longitude,float64,28806,18,0,0.0,20799,0,100.3289236538978,100.92371
listings_summary,listings_summary.csv,room_type,object,28806,18,0,0.0,4,0,,
listings_summary,listings_summary.csv,price,float64,28806,18,5533,19.21,4489,0,4.0,1000000.0
listings_summary,listings_summary.csv,minimum_nights,int64,28806,18,0,0.0,105,0,1.0,1115.0
listings_summary,listings_summary.csv,number_of_reviews,int64,28806,18,0,0.0,402,0,0.0,2926.0
listings_summary,listings_summary.csv,last_review,object,28806,18,10090,35.03,1902,0,2012-12-15,2025-09-27
listings_summary,listings_summary.csv,reviews_per_month,float64,28806,18,10090,35.03,679,0,0.01,57.6
listings_summary,listings_summary.csv,calculated_host_listings_count,int64,28806,18,0,0.0,90,0,1.0,243.0
listings_summary,listings_summary.csv,availability_365,int64,28806,18,0,0.0,366,0,0.0,365.0
listings_summary,listings_summary.csv,number_of_reviews_ltm,int64,28806,18,0,0.0,139,0,0.0,1304.0
listings_summary,listings_summary.csv,license,float64,28806,18,28806,100.0,0,0,,
reviews_summary,reviews_summary.csv,listing_id,int64,583333,2,0,0.0,18716,12295,27934.0,1.5164890224147722e+18
reviews_summary,reviews_summary.csv,date,object,583333,2,0,0.0,4733,12295,2011-03-16,2025-09-27
neighbourhoods,neighbourhoods.csv,neighbourhood_group,float64,50,2,50,100.0,0,0,,
neighbourhoods,neighbourhoods.csv,neighbourhood,object,50,2,0,0.0,50,0,,
